number,latency,packet size,segment size,header size,trans speed
63,0.881195068359375,4548,4400,148,41.28938223376623
64,0.8211135864257812,4548,4400,148,44.31055654355401
65,0.9255409240722656,4549,4400,149,39.319709213807315
66,0.8862018585205078,4548,4400,148,41.056108887812755
67,0.7660388946533203,4547,4400,147,47.485839497043266
68,0.8325576782226562,4548,4400,148,43.70147672852234
69,0.8716583251953125,4548,4400,148,41.74112602188183
70,0.9820461273193359,4547,4400,147,37.04102993542122
71,0.9832382202148438,4548,4400,148,37.00425721047527
72,0.7894039154052734,4547,4400,147,46.080338962247055
73,0.8351802825927734,4548,4400,148,43.56424685583785
74,0.7965564727783203,4547,4400,147,45.666567585752766
75,0.8802413940429688,4548,4400,148,41.334116125677134
76,0.8254051208496094,4549,4400,149,44.089864577700745
77,0.8349418640136719,4548,4400,148,43.57668667504283
78,0.8442401885986328,4548,4400,148,43.096740111832816
79,0.9164810180664062,4548,4400,148,39.69967657023933
80,0.8563995361328125,4548,4400,148,42.48484318930958
81,0.7925033569335938,4547,4400,147,45.900121030084236
82,0.9140968322753906,4547,4400,147,39.79447112780386
83,0.8213520050048828,4548,4400,148,44.29769426298984
84,0.8845329284667969,4548,4400,148,41.133573244204854
85,0.8070468902587891,4548,4400,148,45.082882344460856
86,0.7870197296142578,4548,4400,148,46.230098980914875
87,0.9617805480957031,4548,4400,148,37.82983558155677
88,0.9171962738037109,4549,4400,149,39.677439866909275
89,0.9818077087402344,4548,4400,148,37.0581730781933
90,0.7755756378173828,4548,4400,148,46.91225230126038
91,0.7922649383544922,4547,4400,147,45.913933886247364
92,0.8988380432128906,4548,4400,148,40.47892751618038
93,0.8099079132080078,4548,4400,148,44.923625768619374
94,0.7898807525634766,4548,4400,148,46.06264918080289
95,0.8039474487304688,4547,4400,147,45.246738524317905
96,1.0728836059570312,4549,4400,149,33.91980248177778
97,0.7970333099365234,4549,4400,149,45.659321318576126
98,0.7607936859130859,4548,4400,148,47.823740750861795
99,0.7736682891845703,4548,4400,148,47.02790654422188
100,0.8473396301269531,4548,4400,148,42.93909868767586
101,0.9305477142333984,4547,4400,147,39.090956265436844
102,0.8268356323242188,4547,4400,147,43.99423365167243
103,0.9517669677734375,4547,4400,147,38.219439454909825
104,0.888824462890625,4548,4400,148,40.93496693562231
105,0.835418701171875,4549,4400,149,43.56139017351598
106,0.9057521820068359,4548,4400,148,40.169928069491974
107,0.9057521820068359,4548,4400,148,40.169928069491974
