1656498678.1233315,producer,0,4549,/theta/v=1656498234386
1656498678.1246283,consumer,0,4400,/theta/v=1656498234386
1656498678.1253967,producer,1,4549,/theta/v=1656498234386
1656498678.1261778,consumer,1,4400,/theta/v=1656498234386
1656498678.1269765,producer,2,4547,/theta/v=1656498234386
1656498678.1278198,consumer,2,4400,/theta/v=1656498234386
1656498678.1285772,producer,3,4548,/theta/v=1656498234386
1656498678.1293488,consumer,3,4400,/theta/v=1656498234386
1656498678.1299489,producer,4,4548,/theta/v=1656498234386
1656498678.1309898,consumer,4,4400,/theta/v=1656498234386
1656498678.1317165,producer,5,4549,/theta/v=1656498234386
1656498678.132691,consumer,5,4400,/theta/v=1656498234386
1656498678.133355,producer,6,4547,/theta/v=1656498234386
1656498678.134099,consumer,6,4400,/theta/v=1656498234386
1656498678.134859,producer,7,4548,/theta/v=1656498234386
1656498678.1357098,consumer,7,4400,/theta/v=1656498234386
1656498678.1364534,producer,8,4549,/theta/v=1656498234386
1656498678.1372194,consumer,8,4400,/theta/v=1656498234386
1656498678.1378875,producer,9,4548,/theta/v=1656498234386
1656498678.1387365,consumer,9,4400,/theta/v=1656498234386
1656498678.1395106,producer,10,4547,/theta/v=1656498234386
1656498678.140363,consumer,10,4400,/theta/v=1656498234386
1656498678.141026,producer,11,4548,/theta/v=1656498234386
1656498678.1417313,consumer,11,4400,/theta/v=1656498234386
1656498678.1423457,producer,12,4547,/theta/v=1656498234386
1656498678.1432543,consumer,12,4400,/theta/v=1656498234386
1656498678.1439676,producer,13,4547,/theta/v=1656498234386
1656498678.1447272,consumer,13,4400,/theta/v=1656498234386
1656498678.1453617,producer,14,4548,/theta/v=1656498234386
1656498678.1461084,consumer,14,4400,/theta/v=1656498234386
1656498678.1468751,producer,15,4548,/theta/v=1656498234386
1656498678.1476517,consumer,15,4400,/theta/v=1656498234386
1656498678.148317,producer,16,4548,/theta/v=1656498234386
1656498678.1490655,consumer,16,4400,/theta/v=1656498234386
1656498678.1497035,producer,17,4547,/theta/v=1656498234386
1656498678.1504624,consumer,17,4400,/theta/v=1656498234386
1656498678.1511252,producer,18,4549,/theta/v=1656498234386
1656498678.1520143,consumer,18,4400,/theta/v=1656498234386
1656498678.152697,producer,19,4549,/theta/v=1656498234386
1656498678.1535056,consumer,19,4400,/theta/v=1656498234386
1656498678.1542072,producer,20,4547,/theta/v=1656498234386
1656498678.1552074,consumer,20,4400,/theta/v=1656498234386
1656498678.1558456,producer,21,4549,/theta/v=1656498234386
1656498678.1566026,consumer,21,4400,/theta/v=1656498234386
1656498678.157219,producer,22,4548,/theta/v=1656498234386
1656498678.1580477,consumer,22,4400,/theta/v=1656498234386
1656498678.1587899,producer,23,4548,/theta/v=1656498234386
1656498678.1595693,consumer,23,4400,/theta/v=1656498234386
1656498678.1601534,producer,24,4547,/theta/v=1656498234386
1656498678.1609912,consumer,24,4400,/theta/v=1656498234386
1656498678.1616309,producer,25,4548,/theta/v=1656498234386
1656498678.162408,consumer,25,4400,/theta/v=1656498234386
1656498678.1631696,producer,26,4548,/theta/v=1656498234386
1656498678.1639426,consumer,26,4400,/theta/v=1656498234386
1656498678.1646378,producer,27,4548,/theta/v=1656498234386
1656498678.1653738,consumer,27,4400,/theta/v=1656498234386
1656498678.1659946,producer,28,4549,/theta/v=1656498234386
1656498678.1676667,consumer,28,4400,/theta/v=1656498234386
1656498678.168443,producer,29,4548,/theta/v=1656498234386
1656498678.1693437,consumer,29,4400,/theta/v=1656498234386
1656498678.1700087,producer,30,4549,/theta/v=1656498234386
1656498678.1708276,consumer,30,4400,/theta/v=1656498234386
1656498678.171519,producer,31,4547,/theta/v=1656498234386
1656498678.1724644,consumer,31,4400,/theta/v=1656498234386
1656498678.1731803,producer,32,4547,/theta/v=1656498234386
1656498678.173922,consumer,32,4400,/theta/v=1656498234386
1656498678.174578,producer,33,4547,/theta/v=1656498234386
1656498678.175412,consumer,33,4400,/theta/v=1656498234386
1656498678.1759892,producer,34,4547,/theta/v=1656498234386
1656498678.1766942,consumer,34,4400,/theta/v=1656498234386
1656498678.1773095,producer,35,4547,/theta/v=1656498234386
1656498678.178148,consumer,35,4400,/theta/v=1656498234386
1656498678.178951,producer,36,4549,/theta/v=1656498234386
1656498678.1796753,consumer,36,4400,/theta/v=1656498234386
1656498678.180309,producer,37,4549,/theta/v=1656498234386
1656498678.1811259,consumer,37,4400,/theta/v=1656498234386
1656498678.1817925,producer,38,4549,/theta/v=1656498234386
1656498678.1825292,consumer,38,4400,/theta/v=1656498234386
1656498678.183298,producer,39,4548,/theta/v=1656498234386
1656498678.184036,consumer,39,4400,/theta/v=1656498234386
1656498678.1847703,producer,40,4547,/theta/v=1656498234386
1656498678.1855383,consumer,40,4400,/theta/v=1656498234386
1656498678.1861348,producer,41,4548,/theta/v=1656498234386
1656498678.187048,consumer,41,4400,/theta/v=1656498234386
1656498678.1877892,producer,42,4547,/theta/v=1656498234386
1656498678.1886094,consumer,42,4400,/theta/v=1656498234386
1656498678.1892576,producer,43,4549,/theta/v=1656498234386
1656498678.190028,consumer,43,4400,/theta/v=1656498234386
1656498678.190731,producer,44,4547,/theta/v=1656498234386
1656498678.1915061,consumer,44,4400,/theta/v=1656498234386
1656498678.1921687,producer,45,4548,/theta/v=1656498234386
1656498678.1929576,consumer,45,4400,/theta/v=1656498234386
1656498678.1936784,producer,46,4549,/theta/v=1656498234386
1656498678.1945708,consumer,46,4400,/theta/v=1656498234386
1656498678.1954722,producer,47,4549,/theta/v=1656498234386
1656498678.196416,consumer,47,4400,/theta/v=1656498234386
